Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20170403,15700,15700,15450,15650,105139,22.8,2001.08,,22.8,-3,0,20
20170331,15500,15750,15450,15700,75818,17.9,2001.09,,17.9,-2,0,19
20170330,15500,15600,15450,15500,49946,12.4,2001.1,,12.4,-2,0,18
20170329,15500,15600,15350,15550,65973,2.9,2001.11,,2.9,-2,0,17
20170328,15400,15500,15200,15450,110785,-4,2001.12,,-4,-2,0,16
20170327,15700,15700,15400,15400,68402,-2.9,2002.01,,-2.9,50,0,15
20170324,15650,15700,15300,15550,70247,-0.8,2002.02,,-0.8,30,0,13
20170323,15350,15650,15350,15500,91926,3.6,2002.03,,3.6,25,0,10
20170322,15650,15900,15500,15550,57405,8.8,2002.04,,8.8,20,0,9.8
20170321,16050,16050,15400,15650,166432,13.3,2002.05,,13.3,15,0,9
20170320,16200,16200,15800,15850,100568,17.9,2002.06,,17.9,13,0,8.2
20170317,16200,16400,16150,16200,84498,22.2,2002.07,,22.2,10,0,6.2
20170316,16200,16650,16000,16300,113983,21.4,2002.08,,21.4,9,0,6
20170315,15950,17000,15950,16300,346056,17.8,2002.09,,17.8,8,0,5.8
20170314,16100,16150,15850,16000,62274,8.8,2002.1,,8.8,7,0,5.3
20170313,16100,16100,15800,16000,86930,0.3,2002.11,,0.3,6,0,4.1
20170310,15950,16300,15750,16050,88662,-1.6,2002.12,,-1.6,6,0,3
20170309,15950,16450,15850,16000,160522,-5.8,2003.01,,-5.8,5,0,2.33
20170308,15750,15900,15600,15850,60271,-0.7,2003.02,,-0.7,5,0,2
20170307,15400,15900,15300,15900,125574,2.9,2003.03,,2.9,4,0,1
20170306,15500,15650,15400,15400,80751,9,2003.04,,9,4,0,0
20170303,16000,16100,15600,15700,96089,14.4,2003.05,,14.4,4,0,0
20170302,16150,16350,15950,16100,126429,18,2003.06,,18,40,0,0
20170228,15600,16400,15500,16150,367363,20.7,2003.07,,20.7,30,0,0
20170227,15500,15600,15450,15550,90891,21.3,2003.08,,21.3,15,0,0
20170224,15150,15500,15100,15500,102571,17.5,2003.09,,17.5,13,0,0
20170223,15350,15350,15200,15200,74213,9.6,2003.1,,9.6,10,0,-1
20170222,15500,15600,15250,15350,94559,5.9,2003.11,,5.9,8,0,-3
20170221,15650,15650,15400,15450,72268,-2.8,2003.12,,-2.8,5,0,-7
20170220,15700,15850,15500,15550,66640,-4.9,2004.01,,-4.9,4,0,-11
20170217,15500,15700,15450,15600,57664,-1.6,2004.02,,-1.6,3,0,-13
20170216,15800,15850,15500,15650,66929,2.1,2004.03,,2.1,2,0,-15
20170215,15550,15850,15450,15800,114419,8.5,2004.04,,8.5,1,0,-19
20170214,15600,15600,15300,15450,67192,13.7,2004.05,,13.7,1,0,-17
20170213,15050,15600,15050,15500,124176,19.3,2004.06,,19.3,1,0,-15
20170210,15400,15650,15250,15450,83876,22.3,2004.07,,22.3,10,0,-13
20170209,15350,15450,15150,15350,86054,22.8,2004.08,,22.8,9,0,-11
20170208,15650,15650,15250,15350,63502,17.8,2004.09,,17.8,7,0,-9
20170207,15700,15750,15500,15650,63331,10.3,2004.1,,10.3,5,0,-7
